"id","text","created_at","retweet_count","lang"
874255612070252500,"RT @dme33: Loved our #Airbnb home in #Romania - I'll miss it so much! I recommend a visit to Transylvania! #ilovetravel @Airbnb https://t.c…","Mon Jun 12 13:22:35 +0000 2017",4,"en"
874255369111031800,"RT @GisellaLomax: New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https:/…","Mon Jun 12 13:21:37 +0000 2017",3,"en"
874253944691753000,"Once AGAIN having @airbnb app n site problems!!!! Need to block off dates but site won't load as usual. Efghhhh… https://t.co/90ZnjWXb1I","Mon Jun 12 13:15:57 +0000 2017",0,"en"
874250616129953800,"New @Airbnb platform will make it easier for people to open their homes to refugees and displaced people. #Airbnb https://t.co/ttg2iqXWMN","Mon Jun 12 13:02:44 +0000 2017",3,"en"
874236909500977200,"#Airbnb disaster relief tool allows hosts to open their homes to those in need | https://t.co/3u2DOeY6qt by Joe Geb… https://t.co/hiHxwOaxTp","Mon Jun 12 12:08:16 +0000 2017",0,"en"
874236904312590300,"#Airbnb disaster relief tool allows hosts to open their homes to those in need | https://t.co/BVNQ48nd4V by Joe Geb… https://t.co/4UzyDL4TmT","Mon Jun 12 12:08:15 +0000 2017",0,"en"
874236898033762300,"#Airbnb disaster relief tool allows hosts to open their homes to those in need | https://t.co/hXXsYDsVn8 by Joe Geb… https://t.co/O5UloAf3Bz","Mon Jun 12 12:08:13 +0000 2017",0,"en"
874231159605088300,"RT @JigsawHolidays: Find out which of our cottages made @CotswoldLife's best #Cotswolds cottages to rent on @AirBnB\r#AirBnB https://t.co/4Y…","Mon Jun 12 11:45:25 +0000 2017",1,"en"
874220037560827900,"Find out which of our cottages made @CotswoldLife's best #Cotswolds cottages to rent on @AirBnB\r#AirBnB… https://t.co/0vQjmqCSzL","Mon Jun 12 11:01:13 +0000 2017",1,"en"
874196544676917200,"RT @HelloGuestLTD: If your #shorttermlet has #wifi ensure that your #Airbnb guests can easily find the login details. @Airbnb https://t.co/…","Mon Jun 12 09:27:52 +0000 2017",1,"en"
874145346024230900,"Hi Buzz followers, Save $40 on your first rental @Airbnb https://t.co/F35Ehxkhc6  #savings #hotels #airbnb #travel #coupon","Mon Jun 12 06:04:25 +0000 2017",0,"en"
874144899511308300,"Save $40 on your first rental @Airbnb https://t.co/tsFlv6MzrU #savings #hotels #airbnb #travel #coupon","Mon Jun 12 06:02:39 +0000 2017",0,"en"
874132739754258400,"'The @AirBnB Effect' on #NYC #Housing #Shortage https://t.co/O22TKzY0Yr #CribRater #Crib #Apartments #Rent #RealEstate #AirBnB","Mon Jun 12 05:14:20 +0000 2017",1,"en"
874126392668987400,"RT @chl03ks: This is our home for the next 3 days in Netherlands 🇳🇱 @airbnb #netherlands #🇳🇱#travel #airbnb #traveling #amsterdam #🇲🇽 #elqu…","Mon Jun 12 04:49:07 +0000 2017",1,"en"
874096520039104500,"RT @AKAannakate: Check out my @airbnb listing in #Evanston! Private apt, 2BR, full kitchen, laundry. #airbnb https://t.co/O6kG5AlNyW https:…","Mon Jun 12 02:50:24 +0000 2017",1,"en"
874084424140423200,"Check out my @airbnb listing in #Evanston! Private apt, 2BR, full kitchen, laundry. #airbnb https://t.co/O6kG5AlNyW https://t.co/gOA0OxYtTA","Mon Jun 12 02:02:21 +0000 2017",1,"en"
874068611794485200,"Check out my @airbnb listing in Costa Mesa! https://t.co/bqltUlmAAM #travel #airbnb #vacation #summer #costamesa https://t.co/FOe7JRvU7H","Mon Jun 12 00:59:31 +0000 2017",0,"en"
874042865168654300,"The Airbnb I liked got booked. Those things go fast! \n#airbnb\n@Airbnb","Sun Jun 11 23:17:12 +0000 2017",0,"en"
874019920538988500,"Step Inside This Cozy and Colorful #Airstream in #Austin #Airbnb @Airbnb https://t.co/AuEDUBClMP https://t.co/PmctRgsc1F","Sun Jun 11 21:46:02 +0000 2017",0,"en"
873993734479913000,"Why @Airbnb is #DisruptiveInnovation and @Uber is Not https://t.co/baQgv4xkEE #Disruption #Innovation #Airbnb #Uber #Entrepreneurs","Sun Jun 11 20:01:58 +0000 2017",0,"en"
873989035299131400,"Anyone wanting to book their first adventure with @Airbnb? Use my code to get £30 off! https://t.co/4hu5Ber77r #travel #airbnb #promo","Sun Jun 11 19:43:18 +0000 2017",0,"en"
